Date,Price,Open,High,Low,Vol.,Change %,Sentiment,Buy0Hold1Sell2
9/18/2017,4100.3,3689.6,4122.8,3689,147930,11.13%,22,1
9/19/2017,3908,4100.3,4120.7,3852.2,123220,-4.69%,22,0
9/20/2017,3882.2,3908,4053,3846.8,86650,-0.66%,22,2
9/21/2017,3617.3,3882.2,3912.8,3576.5,145130,-6.82%,22,1
9/22/2017,3600.8,3617.3,3753.5,3505.8,114720,-0.45%,22,0
9/23/2017,3788,3600.8,3813.4,3563.2,67820,5.20%,22,2
9/24/2017,3667.5,3788,3790.9,3633.9,49660,-3.18%,27,1
9/25/2017,3932.8,3667.5,3971.5,3665.7,100200,7.23%,27,2
9/26/2017,3892.7,3932.8,3982.3,3858.8,63250,-1.02%,27,1
9/27/2017,4212.2,3892.7,4232.4,3882.1,117600,8.21%,27,2
9/28/2017,4195.6,4212.2,4274.6,4112.9,92230,-0.39%,27,1
9/29/2017,4172.8,4195.6,4237.5,4030.4,97800,-0.54%,27,1
9/30/2017,4360.6,4172.8,4383.3,4164.3,67490,4.50%,27,2
10/1/2017,4403.1,4360.6,4412.6,4258.3,60580,0.97%,27,1
10/2/2017,4401.3,4403.1,4477.4,4364.7,71200,-0.04%,27,1
10/3/2017,4314.2,4401.3,4436,4230.7,81870,-1.98%,27,1
10/4/2017,4218.7,4314.2,4355.3,4183.6,64080,-2.21%,27,1
10/5/2017,4321.4,4218.7,4365.8,4143.4,63610,2.44%,27,2
10/6/2017,4371.9,4321.4,4422.1,4296.9,61690,1.17%,27,1
10/7/2017,4435.8,4371.9,4472.9,4319.5,40200,1.46%,27,1
10/8/2017,4611.7,4435.8,4622.9,4419.4,71370,3.97%,27,2
10/9/2017,4777.5,4611.7,4875.4,4556.1,110190,3.59%,27,1
10/10/2017,4763.4,4777.5,4930,4722.8,98490,-0.30%,27,1
10/11/2017,4824.2,4763.4,4874.9,4718.6,70480,1.28%,27,1
10/12/2017,5432.6,4824.2,5432.6,4815,163920,12.61%,27,2
10/13/2017,5637.3,5432.6,5852.8,5392,215020,3.77%,27,1
10/14/2017,5824.7,5637.3,5839.6,5568.9,76220,3.33%,27,1
10/15/2017,5688.1,5824.7,5862.7,5448.2,101640,-2.34%,27,0
10/16/2017,5759.3,5677.4,5795.3,5576.1,61360,1.25%,27,2
10/17/2017,5598.6,5759.3,5773.3,5521.1,65640,-2.79%,27,1
10/18/2017,5575.8,5598.6,5601.3,5114.9,122020,-0.41%,27,1
10/19/2017,5698.6,5576.7,5737.4,5517.6,83060,2.20%,27,0
10/20/2017,5993.1,5698.6,6075.3,5611.4,123860,5.17%,27,2
10/21/2017,6006.6,5993.1,6187.2,5874.5,112940,0.23%,27,1
10/22/2017,5982.9,6006.6,6070.6,5723,105030,-0.40%,27,1
10/23/2017,5903.6,5982.9,6049,5644.2,137140,-1.32%,27,1
10/24/2017,5513.1,5903.6,5904.6,5463.4,143740,-6.62%,32,1
10/25/2017,5734,5513.1,5748,5375.6,105840,4.01%,32,2
10/26/2017,5887.6,5734,5970.4,5689.9,93680,2.68%,32,1
10/27/2017,5764.6,5887.6,5997.8,5692.3,83930,-2.09%,32,1
10/28/2017,5726.6,5764.6,5871,5654.8,53230,-0.66%,32,1
10/29/2017,6147.5,5726.6,6295.4,5679.4,163060,7.35%,32,2
10/30/2017,6124.3,6147.7,6226.2,6019,78620,-0.38%,32,1
10/31/2017,6451.2,6124.3,6467.2,6090.8,101250,5.34%,32,2
11/1/2017,6737.8,6449.1,6738.7,6355,133190,4.44%,32,1
11/2/2017,7024.8,6737.8,7339.9,6737.8,238800,4.26%,32,1
11/3/2017,7152.1,7024.8,7445.6,6938.9,154890,1.81%,32,0
11/4/2017,7363.8,7147,7492.2,6957.8,106600,2.96%,32,2
11/5/2017,7389.5,7363.8,7599.4,7284.3,105730,0.35%,32,1
11/6/2017,6959.2,7389.5,7429.7,6934.7,159690,-5.82%,32,1
11/7/2017,7102.8,6959.3,7222.4,6957.8,101050,2.06%,32,0
11/8/2017,7444.4,7102.2,7869.1,7027,220220,4.81%,32,2
11/9/2017,7129.6,7444.4,7457.1,7040.8,126770,-4.23%,32,1
11/10/2017,6565.8,7129.6,7319,6406,222000,-7.91%,32,1
11/11/2017,6339.9,6565.8,6821.5,6197.9,135720,-3.44%,32,2
11/12/2017,5878.1,6339.9,6490.5,5493.6,269830,-7.28%,32,1
11/13/2017,6522.5,5878.1,6760.1,5828.3,178340,10.96%,32,2
11/14/2017,6597.1,6522.5,6728.6,6419.2,96500,1.14%,32,1
11/15/2017,7283.2,6597.1,7330.1,6596.9,131120,10.40%,32,2
11/16/2017,7853.7,7283,7964.6,7119.2,133940,7.83%,32,1
11/17/2017,7700,7853.7,8000.2,7534.7,117350,-1.96%,32,1
11/18/2017,7780.9,7700,7857.5,7458.9,74380,1.05%,32,1
11/19/2017,8042.6,7781,8100.9,7675.4,68620,3.36%,32,2
11/20/2017,8244.7,8042.6,8294.1,7947.3,75700,2.51%,32,1
11/21/2017,8100,8245.9,8368.4,7819.1,115450,-1.76%,32,0
11/22/2017,8234.5,8099.9,8304.4,8091.6,65810,1.66%,32,2
11/23/2017,8013.4,8234.5,8266.5,8012.4,68010,-2.69%,32,1
