Date,Price,Open,High,Low,Vol.,Change %,Sentiment,Buy0Hold1Sell2
9/18/2017,0.00094,0.000865,0.00099,0.000865,330760000,8.67%,1,1
9/19/2017,0.000876,0.00094,0.000969,0.00084,186740000,-6.81%,1,0
9/20/2017,0.000838,0.000876,0.000921,0.000815,957060000,-4.34%,1,2
9/21/2017,0.000776,0.000838,0.000848,0.000717,1930000000,-7.40%,1,1
9/22/2017,0.000774,0.000776,0.000793,0.00069,1630000000,-0.26%,1,0
9/23/2017,0.000944,0.000774,0.000965,0.000757,1710000000,21.96%,1,2
9/24/2017,0.00089,0.000944,0.00099,0.000853,1610000000,-5.72%,2,1
9/25/2017,0.001146,0.00089,0.001229,0.000881,370820000,28.76%,2,2
9/26/2017,0.00115,0.001146,0.001202,0.001045,48860000,0.35%,2,0
9/27/2017,0.001159,0.00115,0.001283,0.001123,118220000,0.78%,2,2
9/28/2017,0.001109,0.001159,0.001239,0.001061,872990000,-4.31%,2,1
9/29/2017,0.001089,0.001109,0.001121,0.000988,2150000000,-1.80%,2,0
9/30/2017,0.001168,0.001089,0.001171,0.001084,1340000000,7.25%,2,2
10/1/2017,0.001076,0.001168,0.001169,0.0009,1940000000,-7.88%,2,1
10/2/2017,0.001051,0.001076,0.001112,0.001042,1250000000,-2.32%,2,2
10/3/2017,0.001023,0.001051,0.001077,0.00099,1780000000,-2.66%,2,1
10/4/2017,0.001014,0.001023,0.001098,0.001004,1480000000,-0.88%,2,1
10/5/2017,0.001007,0.001014,0.001033,0.000958,1030000000,-0.69%,2,1
10/6/2017,0.001024,0.001007,0.001046,0.000979,1230000000,1.69%,2,1
10/7/2017,0.001042,0.001024,0.001048,0.000999,505050000,1.76%,2,2
10/8/2017,0.00106,0.001042,0.001071,0.001035,62110000,1.73%,2,1
10/9/2017,0.000976,0.00106,0.00106,0.000961,669530000,-7.92%,2,1
10/10/2017,0.000999,0.000976,0.001027,0.000956,903600000,2.36%,2,0
10/11/2017,0.001036,0.000999,0.00105,0.000988,1130000000,3.70%,2,2
10/12/2017,0.001051,0.001036,0.001091,0.00103,1200000000,1.45%,2,1
10/13/2017,0.00102,0.001051,0.001087,0.000984,1460000000,-2.95%,2,1
10/14/2017,0.001067,0.00102,0.001116,0.001009,1170000000,4.61%,2,2
10/15/2017,0.00108,0.001067,0.0011,0.00099,1190000000,1.22%,2,0
10/16/2017,0.001151,0.00108,0.001169,0.00103,6030000000,6.57%,2,2
10/17/2017,0.001066,0.001151,0.001155,0.001056,16310000000,-7.38%,2,1
10/18/2017,0.001052,0.001066,0.00109,0.000981,3210000000,-1.31%,2,0
10/19/2017,0.001069,0.001052,0.001079,0.001038,2570000000,1.62%,2,2
10/20/2017,0.00104,0.001069,0.001083,0.00102,3870000000,-2.71%,2,1
10/21/2017,0.00098,0.00104,0.001055,0.000932,3180000000,-5.77%,2,1
10/22/2017,0.001013,0.00098,0.00106,0.00096,3150000000,3.37%,2,2
10/23/2017,0.00101,0.001013,0.001046,0.000966,2110000000,-0.30%,2,1
10/24/2017,0.00106,0.00101,0.001117,0.00095,957840000,4.95%,3,2
10/25/2017,0.001079,0.00106,0.0011,0.001001,359240000,1.79%,3,1
10/26/2017,0.00106,0.001079,0.001083,0.001019,494950000,-1.76%,3,0
10/27/2017,0.001042,0.00106,0.00107,0.00102,998250000,-1.70%,3,2
10/28/2017,0.001014,0.001042,0.001048,0.000991,295110000,-2.69%,3,1
10/29/2017,0.001181,0.001014,0.001182,0.001,402910000,16.47%,3,2
10/30/2017,0.00116,0.001181,0.001182,0.0011,535280000,-1.78%,3,0
10/31/2017,0.001147,0.00116,0.001178,0.001066,1340000000,-1.12%,3,2
11/1/2017,0.001125,0.001147,0.00118,0.00109,1170000000,-1.92%,3,1
11/2/2017,0.00112,0.001125,0.00116,0.001045,1530000000,-0.44%,3,1
11/3/2017,0.001133,0.00112,0.001158,0.001091,1410000000,1.16%,3,0
11/4/2017,0.001179,0.001133,0.001194,0.001107,1370000000,4.06%,3,2
11/5/2017,0.001169,0.001179,0.001225,0.001151,1290000000,-0.85%,3,1
11/6/2017,0.001143,0.001169,0.00121,0.001092,1380000000,-2.22%,3,1
11/7/2017,0.001169,0.001143,0.00119,0.001136,1240000000,2.27%,3,2
11/8/2017,0.001191,0.001169,0.001239,0.001132,2520000000,1.88%,3,0
11/9/2017,0.001392,0.001191,0.0014,0.001173,2500000000,16.88%,3,2
11/10/2017,0.001158,0.001392,0.0014,0.00113,748050000,-16.81%,3,1
11/11/2017,0.001172,0.001158,0.00123,0.001125,1140000000,1.21%,3,2
11/12/2017,0.00106,0.001172,0.001172,0.001023,1710000000,-9.56%,3,1
11/13/2017,0.001162,0.00106,0.0012,0.001048,1970000000,9.62%,3,2
11/14/2017,0.001171,0.001162,0.0012,0.001129,2790000000,0.77%,3,1
11/15/2017,0.001295,0.001171,0.001326,0.00117,2060000000,10.59%,3,2
11/16/2017,0.001353,0.001295,0.001392,0.001266,2000000000,4.48%,3,1
11/17/2017,0.001298,0.001353,0.001368,0.001208,2050000000,-4.07%,3,1
11/18/2017,0.00132,0.001298,0.001332,0.001255,1350000000,1.69%,3,0
11/19/2017,0.001362,0.00132,0.001362,0.001302,14910000,3.18%,3,2
11/20/2017,0.001373,0.001362,0.0014,0.001283,1310000000,0.81%,3,1
11/21/2017,0.001376,0.001373,0.001494,0.00128,2410000000,0.22%,3,1
11/22/2017,0.001837,0.001376,0.002082,0.001356,2440000000,33.50%,3,2
11/23/2017,0.001905,0.001837,0.002451,0.001642,1520000000,3.70%,3,1
11/24/2017,0.001903,0.001905,0.002,0.001731,1550000000,-0.10%,10,0
11/25/2017,0.002074,0.001903,0.002079,0.00177,1470000000,8.99%,10,2
11/26/2017,0.001957,0.002074,0.002148,0.001846,1350000000,-5.64%,10,1
11/27/2017,0.001965,0.001957,0.002028,0.001851,2380000000,0.41%,10,0
11/28/2017,0.00236,0.001965,0.00236,0.001925,2250000000,20.10%,10,2
11/29/2017,0.002043,0.00236,0.0027,0.001909,2360000000,-13.43%,10,1
11/30/2017,0.002053,0.002043,0.002409,0.001835,1800000000,0.49%,10,0
12/1/2017,0.002127,0.002053,0.00224,0.001971,1990000000,3.60%,10,2
12/2/2017,0.002073,0.002127,0.002173,0.002041,1580000000,-2.54%,10,1
12/3/2017,0.002186,0.002073,0.002339,0.001977,2280000000,5.45%,10,0
12/4/2017,0.002439,0.002186,0.00245,0.002131,1750000000,11.57%,10,2
12/5/2017,0.002467,0.002439,0.00265,0.002394,1630000000,1.15%,10,1
12/6/2017,0.002586,0.002467,0.0026,0.002202,1810000000,4.82%,10,2
12/7/2017,0.002666,0.002586,0.002778,0.00238,1790000000,3.09%,10,1
12/8/2017,0.002692,0.002666,0.00286,0.002303,1780000000,0.98%,10,1
12/9/2017,0.002564,0.002692,0.00273,0.00222,1640000000,-4.75%,10,1
12/10/2017,0.002519,0.002564,0.002686,0.0022,1690000000,-1.76%,10,1
12/11/2017,0.002646,0.002519,0.0028,0.002377,1460000000,5.04%,10,1
12/12/2017,0.003126,0.002646,0.003434,0.00258,1560000000,18.14%,10,2
12/13/2017,0.003382,0.003126,0.0039,0.00301,1520000000,8.19%,10,1
12/14/2017,0.003591,0.003382,0.0039,0.003301,1180000000,6.18%,10,1
12/15/2017,0.003659,0.003591,0.00375,0.003417,1260000000,1.89%,10,1
12/16/2017,0.005634,0.003659,0.0068,0.00361,1270000000,53.98%,10,2
12/17/2017,0.005841,0.005634,0.007804,0.005306,908220000,3.67%,10,0
12/18/2017,0.00627,0.005841,0.007,0.005582,802770000,7.34%,10,2
