Date,Price,Open,High,Low,Vol.,Change %,Sentiment,Buy0Hold1Sell2
9/18/2017,296.81,257,299.89,257,1330000,15.49%,3,1
9/19/2017,282.63,296.81,299,275,941080,-4.78%,3,0
9/20/2017,283.5,282.63,294,277,512320,0.31%,3,2
9/21/2017,256.67,283.5,287.53,251.52,1030000,-9.46%,3,1
9/22/2017,262.19,256.67,269.5,253.03,643200,2.15%,3,0
9/23/2017,285.9,262.19,287.2,259.01,570420,9.04%,3,2
9/24/2017,282,285.9,294.54,275.41,687970,-1.36%,4,0
9/25/2017,295.2,282,297.93,281.8,652310,4.68%,4,2
9/26/2017,289.28,295.2,296.38,285.2,366530,-2.01%,4,0
9/27/2017,309.75,289.28,315.51,286.93,748360,7.08%,4,2
9/28/2017,302.63,309.75,310.69,297.75,491020,-2.30%,4,1
9/29/2017,292.66,302.63,303.9,280.5,966410,-3.29%,4,1
9/30/2017,303.44,292.66,307.76,292.3,459210,3.68%,4,2
10/1/2017,304.26,303.44,305.57,295,385330,0.27%,4,1
10/2/2017,296.82,304.26,304.63,292.1,468960,-2.45%,4,1
10/3/2017,291.69,296.82,300.5,285.93,452020,-1.73%,4,1
10/4/2017,291.4,291.69,296,287.56,394450,-0.10%,4,1
10/5/2017,295.12,291.4,297.92,285.12,317810,1.28%,4,0
10/6/2017,308.43,295.12,309.59,293.04,373260,4.51%,4,2
10/7/2017,311.46,308.43,315,304.5,409620,0.98%,4,1
10/8/2017,309.82,311.46,314.39,307.55,363240,-0.53%,4,1
10/9/2017,297.4,309.82,311.16,287.03,630800,-4.01%,4,1
10/10/2017,299.32,297.4,307,292.57,366240,0.65%,4,0
10/11/2017,303.2,299.32,306.55,296.6,407080,1.30%,4,2
10/12/2017,303.06,303.2,310.01,302.1,649860,-0.05%,4,1
10/13/2017,337.46,303.06,350,298,1340000,11.35%,4,2
10/14/2017,339.24,337.46,348,334.05,528580,0.53%,4,1
10/15/2017,337.23,339.24,344.89,315,875270,-0.59%,4,1
10/16/2017,334.46,337.23,355,330.85,945250,-0.82%,4,1
10/17/2017,315.65,334.46,334.8,308,671490,-5.62%,4,1
10/18/2017,313.45,315.65,316.21,287.46,885210,-0.70%,4,2
10/19/2017,306.97,313.45,316.5,304,413130,-2.07%,4,1
10/20/2017,302.61,306.97,313.01,301.04,415810,-1.42%,4,0
10/21/2017,299.23,302.61,303,289.31,368610,-1.12%,4,2
10/22/2017,293.55,299.23,305.62,289.4,334090,-1.90%,4,1
10/23/2017,284.85,293.55,293.96,273.5,597470,-2.96%,4,1
10/24/2017,296.3,284.85,311.85,280.02,758330,4.02%,5,2
10/25/2017,295.46,296.3,300,288.5,329330,-0.28%,5,1
10/26/2017,295.1,295.46,299,290.55,207770,-0.12%,5,0
10/27/2017,295.99,295.1,299.5,291.6,239630,0.30%,5,2
10/28/2017,293.49,295.99,297.01,288.6,245780,-0.84%,5,1
10/29/2017,304.39,293.49,312.49,290.5,583180,3.71%,5,2
10/30/2017,307,304.39,314.4,303.93,301720,0.86%,5,1
10/31/2017,303.69,307,312,303.1,285810,-1.08%,5,1
11/1/2017,288.6,303.69,305.11,287.04,538440,-4.97%,5,1
11/2/2017,284.89,288.6,293.01,275.21,910760,-1.29%,5,0
11/3/2017,303.47,284.89,307.36,284,760960,6.52%,5,2
11/4/2017,299.48,303.47,304.38,293,463880,-1.31%,5,1
11/5/2017,295.63,299.48,301,292.28,345210,-1.29%,5,0
11/6/2017,296.9,295.63,310,292,557780,0.43%,5,2
11/7/2017,291.42,296.9,304.2,285.01,757800,-1.85%,5,1
11/8/2017,307.5,291.42,318.9,290.11,1170000,5.52%,5,2
11/9/2017,319.52,307.5,328.8,305,881180,3.91%,5,1
11/10/2017,296.18,319.52,324.03,286,1160000,-7.30%,5,1
11/11/2017,313.07,296.18,319.88,294.7,604700,5.70%,5,2
11/12/2017,303.9,313.07,316.99,293.33,879410,-2.93%,5,1
11/13/2017,313.22,303.9,318,302.4,696370,3.07%,5,0
11/14/2017,334.28,313.22,336.69,313.22,854090,6.72%,5,2
11/15/2017,330.59,334.28,339.61,321.5,584660,-1.10%,5,1
11/16/2017,330.76,330.59,335.11,321.18,521940,0.05%,5,1
11/17/2017,331,331.16,335.01,325,530710,0.07%,5,1
11/18/2017,346.68,331,350.4,325.32,518810,4.74%,5,2
11/19/2017,354.7,346.68,371,343.28,618020,2.31%,5,0
