Date,Ethereum,Bitcoin,Dogecoin
9/18/2017,4,21,0.5
9/19/2017,4,21,0.5
9/20/2017,4,21,0.5
9/21/2017,4,21,0.5
9/22/2017,4,21,0.5
9/23/2017,4,21,0.5
9/24/2017,4,21,0.5
9/25/2017,4,21,0.5
9/26/2017,4,21,0.5
9/27/2017,4,21,0.5
9/28/2017,4,21,0.5
9/29/2017,4,21,0.5
9/30/2017,4,21,0.5
10/1/2017,3,22,0.5
10/2/2017,3,22,0.5
10/3/2017,3,22,0.5
10/4/2017,3,22,0.5
10/5/2017,3,22,0.5
10/6/2017,3,22,0.5
10/7/2017,3,22,0.5
10/8/2017,3,22,0.5
10/9/2017,3,22,0.5
10/10/2017,3,22,0.5
10/11/2017,3,22,0.5
10/12/2017,3,22,0.5
10/13/2017,3,22,0.5
10/14/2017,3,22,0.5
10/15/2017,3,22,0.5
10/16/2017,3,22,0.5
10/17/2017,3,22,0.5
10/18/2017,3,22,0.5
10/19/2017,3,22,0.5
10/20/2017,3,22,0.5
10/21/2017,3,22,0.5
10/22/2017,3,22,0.5
10/23/2017,3,22,0.5
10/24/2017,3,22,0.5
10/25/2017,3,22,0.5
10/26/2017,3,22,0.5
10/27/2017,3,22,0.5
10/28/2017,3,22,0.5
10/29/2017,3,22,0.5
10/30/2017,3,22,0.5
10/31/2017,3,22,0.5
11/1/2017,4,38,0.5
11/2/2017,4,38,0.5
11/3/2017,4,38,0.5
11/4/2017,4,38,0.5
11/5/2017,4,38,0.5
11/6/2017,4,38,0.5
11/7/2017,4,38,0.5
11/8/2017,4,38,0.5
11/9/2017,4,38,0.5
11/10/2017,4,38,0.5
11/11/2017,4,38,0.5
11/12/2017,4,38,0.5
11/13/2017,4,38,0.5
11/14/2017,4,38,0.5
11/15/2017,4,38,0.5
11/16/2017,4,38,0.5
11/17/2017,4,38,0.5
11/18/2017,4,38,0.5
11/19/2017,4,38,0.5
11/20/2017,4,38,0.5
11/21/2017,4,38,0.5
11/22/2017,4,38,0.5
11/23/2017,4,38,0.5
11/24/2017,4,38,0.5
11/25/2017,4,38,0.5
11/26/2017,4,38,0.5
11/27/2017,4,38,0.5
11/28/2017,4,38,0.5
11/29/2017,4,38,0.5
11/30/2017,4,38,0.5
12/1/2017,10,100,1
12/2/2017,10,100,1
12/3/2017,10,100,1
12/4/2017,10,100,1
12/5/2017,10,100,1
12/6/2017,10,100,1
12/7/2017,10,100,1
12/8/2017,10,100,1
12/9/2017,10,100,1
12/10/2017,10,100,1
12/11/2017,10,100,1
12/12/2017,10,100,1
12/13/2017,10,100,1
12/14/2017,10,100,1
12/15/2017,10,100,1
12/16/2017,10,100,1
12/17/2017,10,100,1
12/18/2017,10,100,1
12/19/2017,10,100,1
12/20/2017,10,100,1
12/21/2017,10,100,1
12/22/2017,10,100,1
12/23/2017,10,100,1
12/24/2017,10,100,1
12/25/2017,10,100,1
12/26/2017,10,100,1
12/27/2017,10,100,1
12/28/2017,10,100,1
12/29/2017,10,100,1
12/30/2017,10,100,1
12/31/2017,10,100,1
1/1/2018,10,58,2
1/2/2018,10,58,2
1/3/2018,10,58,2
1/4/2018,10,58,2
1/5/2018,10,58,2
1/6/2018,10,58,2
1/7/2018,10,58,2
1/8/2018,10,58,2
1/9/2018,10,58,2
1/10/2018,10,58,2
1/11/2018,10,58,2
1/12/2018,10,58,2
1/13/2018,10,58,2
1/14/2018,10,58,2
1/15/2018,10,58,2
1/16/2018,10,58,2
1/17/2018,10,58,2
1/18/2018,10,58,2
1/19/2018,10,58,2
1/20/2018,10,58,2
1/21/2018,10,58,2
1/22/2018,10,58,2
1/23/2018,10,58,2
1/24/2018,10,58,2
1/25/2018,10,58,2
1/26/2018,10,58,2
1/27/2018,10,58,2
1/28/2018,10,58,2
1/29/2018,10,58,2
1/30/2018,10,58,2
1/31/2018,10,58,2
2/1/2018,5,42,1
2/2/2018,5,42,1
2/3/2018,5,42,1
2/4/2018,5,42,1
